Food|Calcium [mg]|Serving Size|Weight [g]|Percent water|Energy [kcal]|Protein [g]|Carbohydrate [g]|Fiber [g]|Cholesterol [mg]|Total Fat [g]|Saturate Fat [g]|Monosat Fat [g]|Polyunsat Fat [g]|Iron [mg]|Magnesium [mg]|Sodium [mg]|Phosphorous [mg]|Ca:P ratio|Potassium [mg]|Zinc [mg]|Niacin [mg]|Thiamin [mg]|Riboflavin [mg]|Vit A [RE]|Vit B6 [mg]|Vit C [mg]|Food type
Nectarines raw without pits|6|1 ea|136|86|67|1,3|16|3,1|0|0,6|0,1|0,2|0,3|0,2|11|0|22|0,27|288|0,1|1,35|0,02|0,06|100|0,03|7|FRUITS
Raisin bread slice|25|1 pce|25|33|68|1,9|13,2|0,7|0|1|0,2|0,4|0,4|0,8|6|92|22|1,14|59|0,1|1,02|0,08|0,15|0|0,01|0|BAKED GOODS
Ham luncheon meat canned|1|1 pce|21|52|70|2,6|0,4|0|13|6,4|2,3|3|0,8|0,1|2|271|17|0,06|45|0,3|0,66|0,08|0,04|0|0,04|0|MEAT
Carrot juice|44|3/4 cup|184|89|73|1,7|17,1|2,5|0|0,3|0|0|0,1|0,6|26|54|77|0,57|538|0,3|0,71|0,17|0,1|3167|0,4|11|VEGETABLES AND LEGUMES
Blackberries raw|46|1 cup|144|86|74|1|18,4|9,7|0|0,6|0,3|0,1|0,1|0,8|29|0|30|1,53|282|0,4|0,58|0,04|0,06|24|0,08|30|FRUITS
Salad Dressing - Blue Cheese|12|1 tbsp|15|32|75|0,7|1,1|0|3|8|1,5|1,9|4,3|0|1|0,3|11|1,09|6|0,3|0,01|0,01|0,02|10|0,01|0|FATS AND OILS
Pineapple raw chunks, dices|11|1 cup|155|86|76|0,6|19,2|2,9|0|0,7|0|0,1|0,2|0,6|21|2|11|1|175|0,1|0,65|0,14|0,06|4|0,14|24|FRUITS
Raw whole without shell|28|1 ea|50|75|79|6,1|0,6|0|274|5,6|1,7|2,2|0,7|1|6|69|90|0,31|65|0,6|0,03|0,04|0,15|78|0,06|0|EGGS
Apples raw with peel 2 3/4 diam|10|1 ea|138|84|80|0,3|21|4,3|0|0,5|0,1|0|0,1|0,3|6|1|10|1|159|0|0,11|0,02|0,02|7|0,07|8|FRUITS
Cheese Mozzarella whole milk|147|1 oz|28|54|80|5,5|0,6|0|22|5,8|3,7|1,9|0,2|0|5|106|105|1,4|19|0,7|0,02|0,01|0,07|68|0,02|0|DAIRY
Salad Dressing - Italian Regular|1|1 tbsp|14|34|80|0,1|1|0|0|9|1,3|3,7|3,2|0|1|162|1|1|5|0|0|0|0|3|0,03|0|FATS AND OILS
Blueberries raw|9|1 cup|145|85|82|1|20,5|4,9|0|0,6|0|0,2|0,3|0,2|7|9|15|0,6|129|0,2|0,7|0,07|0,07|15|0,05|20|FRUITS
Corn cooked raw on cob|2|1 ear|77|70|83|2,6|19,4|3,6|0|1|0,1|0,3|0,5|0,5|25|13|79|0,03|192|0,4|1,24|0,17|0,06|17|0,18|5|VEGETABLES AND LEGUMES
